"date";"open";"close";"high";"low"
"09/08/2015";0.00349;0.002702;0.0041;0.0024
"10/08/2015";0.002702;0.002603;0.002902;0.0022
"11/08/2015";0.002603;0.004;0.0044;0.002414
"12/08/2015";0.004;0.00467;0.004882;0.00291
"13/08/2015";0.00467;0.00681;0.007999;0.00401
"14/08/2015";0.00681;0.00689;0.008888;0.0065
"15/08/2015";0.00689;0.0063;0.007205;0.0057
"16/08/2015";0.0063;0.00556;0.006559;0.00415
"17/08/2015";0.005551;0.004649;0.00621;0.004395
"18/08/2015";0.004649;0.005188;0.005372;0.004251
"19/08/2015";0.005188;0.005587;0.0057;0.005005
"20/08/2015";0.005587;0.0063;0.00657;0.005228
"21/08/2015";0.0063;0.00607;0.006777;0.005711
"22/08/2015";0.00607;0.00606;0.00649;0.005805
"23/08/2015";0.00606;0.00597;0.006358;0.005599
"24/08/2015";0.00597;0.0059;0.006145;0.00577
"25/08/2015";0.0059;0.005299;0.005942;0.005
"26/08/2015";0.005299;0.00515;0.00535;0.004773
"27/08/2015";0.00515;0.005091;0.005275;0.004984
"28/08/2015";0.005091;0.005072;0.00523;0.00501
"29/08/2015";0.005072;0.00516;0.005188;0.005
"30/08/2015";0.00516;0.00582;0.006051;0.005065
"31/08/2015";0.00582;0.0059;0.00635;0.005226
"01/09/2015";0.0059;0.005941;0.00614;0.005817
"02/09/2015";0.005941;0.005638;0.005968;0.005459
"03/09/2015";0.005638;0.005554;0.005739;0.005204
"04/09/2015";0.005554;0.00551;0.005732;0.005355
"05/09/2015";0.00551;0.00565;0.00573;0.0055
"06/09/2015";0.00565;0.00542;0.00574;0.005369
"07/09/2015";0.00542;0.005173;0.005489;0.005109
"08/09/2015";0.005173;0.005069;0.005249;0.005045
"09/09/2015";0.005069;0.005085;0.005289;0.005003
"10/09/2015";0.005085;0.004875;0.005105;0.00475
"11/09/2015";0.004875;0.00405;0.004928;0.00371
"12/09/2015";0.00405;0.004403;0.00473;0.004
"13/09/2015";0.004403;0.00405;0.004473;0.003886
"14/09/2015";0.00405;0.00379;0.004165;0.00375
"15/09/2015";0.00379;0.004101;0.004333;0.00376
